date,site,observer,start_time,end_time,tide_height_at_sampling_time,effective_tide_height,scientific_name,description,life_stage,disease_status,size_class,count,entered_by,checked_by,notes
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Adult,1,50,1,GSB,TF,coded as 2 in the field - but further evaluation suggested that our criteria for 2 matches level 1 wasting
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Adult,0,60,10,GSB,TF,NA
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Adult,0,60,10,GSB,TF,coded as 1 in the field - but further evaluation suggested that reproduction and level 1 wasting were confounded.
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Adult,1,60,2,GSB,TF,coded as 2 in the field - but further evaluation suggested that our criteria for 2 matches level 1 wasting
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Adult,0,70,9,GSB,TF,NA
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Adult,0,70,2,GSB,TF,coded as 1 in the field - but further evaluation suggested that reproduction and level 1 wasting were confounded.
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Adult,1,70,1,GSB,TF,coded as 2 in the field - but further evaluation suggested that our criteria for 2 matches level 1 wasting
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Adult,0,80,4,GSB,TF,NA
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Adult,1,80,1,GSB,TF,coded as 2 in the field - but further evaluation suggested that our criteria for 2 matches level 1 wasting
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Adult,0,90,1,GSB,TF,NA
